NUM;FECHA_CORTE;PERIODO;EMPRESA;TIPO_EMPRESA;PLAN;MODALIDAD_PLAN;ID_EQUIPO_MÓVIL;EQUIPO_MÓVIL;CAPACIDAD_GB;PANTALLA_PULGADAS;CÁMARA_PRINCIPAL;CÁMARA_FRONTAL;MARCA;PRECIO_SOLES
1;20240617;202303;Movistar;Empresa Operadora;Equipo Libre;Sin Plan;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2459.00
2;20240617;202303;Movistar;Empresa Operadora;29.90;Portabilidad;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2189.00
3;20240617;202303;Movistar;Empresa Operadora;39.90;Portabilidad;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2189.00
4;20240617;202303;Movistar;Empresa Operadora;55.90;Portabilidad;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2129.00
5;20240617;202303;Movistar;Empresa Operadora;69.90;Portabilidad;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2119.00
6;20240617;202303;Movistar;Empresa Operadora;99.90;Portabilidad;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2039.00
7;20240617;202303;Movistar;Empresa Operadora;29.90;Renovación;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2189.00
8;20240617;202303;Movistar;Empresa Operadora;39.90;Renovación;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2189.00
9;20240617;202303;Movistar;Empresa Operadora;55.90;Renovación;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2129.00
10;20240617;202303;Movistar;Empresa Operadora;69.90;Renovación;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2119.00
11;20240617;202303;Movistar;Empresa Operadora;99.90;Renovación;2;iPhone 11;64;6.100;12MP+12MP;12MP;Apple;2039.00
12;20240617;202303;Movistar;Empresa Operadora;Equipo Libre;Sin Plan;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;3249.00
13;20240617;202303;Movistar;Empresa Operadora;29.90;Portabilidad;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2839.00
14;20240617;202303;Movistar;Empresa Operadora;39.90;Portabilidad;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2839.00
15;20240617;202303;Movistar;Empresa Operadora;55.90;Portabilidad;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2779.00
16;20240617;202303;Movistar;Empresa Operadora;69.90;Portabilidad;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2599.00
17;20240617;202303;Movistar;Empresa Operadora;99.90;Portabilidad;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2559.00
18;20240617;202303;Movistar;Empresa Operadora;29.90;Renovación;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2839.00
19;20240617;202303;Movistar;Empresa Operadora;39.90;Renovación;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2839.00
20;20240617;202303;Movistar;Empresa Operadora;55.90;Renovación;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2779.00
21;20240617;202303;Movistar;Empresa Operadora;69.90;Renovación;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2599.00
22;20240617;202303;Movistar;Empresa Operadora;99.90;Renovación;5;iPhone 12 ;128;6.100;12MP+12MP;12MP;Apple;2559.00
23;20240617;202303;Movistar;Empresa Operadora;29.90;Portabilidad;196;iPhone 14 Plus;128;6.700;12MP+12MP;12MP;Apple;4579.00
